,G_loss,G_WGAN_loss,G_L1_loss,D_loss_real,D_loss_fake,D_loss,GP
0,9.197406862576802,0.0,9.197406862576802,0.0,0.0,0.0,0.0
1,8.639056442578633,0.0,8.639056442578633,0.0,0.0,0.0,0.0
2,8.577533512115478,0.0,8.577533512115478,0.0,0.0,0.0,0.0
3,8.53719614346822,0.0,8.53719614346822,0.0,0.0,0.0,0.0
4,8.502513704299927,0.0,8.502513704299927,0.0,0.0,0.0,0.0
5,8.489594055811564,0.0,8.489594055811564,0.0,0.0,0.0,0.0
6,8.467870262463888,0.0,8.467870262463888,0.0,0.0,0.0,0.0
7,8.450015729268392,0.0,8.450015729268392,0.0,0.0,0.0,0.0
8,8.426007882754009,0.0,8.426007882754009,0.0,0.0,0.0,0.0
9,8.40294615427653,0.0,8.40294615427653,0.0,0.0,0.0,0.0
10,8.376457713445028,0.0,8.376457713445028,0.0,0.0,0.0,0.0
11,8.351412973403932,0.0,8.351412973403932,0.0,0.0,0.0,0.0
12,8.322428086598714,0.0,8.322428086598714,0.0,0.0,0.0,0.0
13,8.304835748672485,0.0,8.304835748672485,0.0,0.0,0.0,0.0
14,8.274050974845887,0.0,8.274050974845887,0.0,0.0,0.0,0.0
15,8.249307818412781,0.0,8.249307818412781,0.0,0.0,0.0,0.0
16,8.2323646179835,0.0,8.2323646179835,0.0,0.0,0.0,0.0
17,8.196357315381368,0.0,8.196357315381368,0.0,0.0,0.0,0.0
18,8.162601722081503,0.0,8.162601722081503,0.0,0.0,0.0,0.0
19,8.118923501968384,0.0,8.118923501968384,0.0,0.0,0.0,0.0
20,8.067945057551066,0.0,8.067945057551066,0.0,0.0,0.0,0.0
21,8.017585234642029,0.0,8.017585234642029,0.0,0.0,0.0,0.0
22,7.963831350008647,0.0,7.963831350008647,0.0,0.0,0.0,0.0
23,7.913476707140605,0.0,7.913476707140605,0.0,0.0,0.0,0.0
24,7.825897992451986,0.0,7.825897992451986,0.0,0.0,0.0,0.0
25,7.753427899678548,0.0,7.753427899678548,0.0,0.0,0.0,0.0
26,7.681158393224081,0.0,7.681158393224081,0.0,0.0,0.0,0.0
27,7.60289288520813,0.0,7.60289288520813,0.0,0.0,0.0,0.0
28,7.50262283484141,0.0,7.50262283484141,0.0,0.0,0.0,0.0
29,7.434954360326131,0.0,7.434954360326131,0.0,0.0,0.0,0.0
30,7.329333443641662,0.0,7.329333443641662,0.0,0.0,0.0,0.0
31,7.251559000015259,0.0,7.251559000015259,0.0,0.0,0.0,0.0
32,7.165844257672628,0.0,7.165844257672628,0.0,0.0,0.0,0.0
33,7.073589030901591,0.0,7.073589030901591,0.0,0.0,0.0,0.0
34,7.023578147888184,0.0,7.023578147888184,0.0,0.0,0.0,0.0
35,6.965162607828776,0.0,6.965162607828776,0.0,0.0,0.0,0.0
36,6.901483260790507,0.0,6.901483260790507,0.0,0.0,0.0,0.0
